Beta,Beta_HWP,Beta_HWP_2,Alpha,theta,V_t,V_r,"V_{t,max}","V_(r,max)",pr_t,pr_r,pr_r+pr_t
44,44,249,0,-78.75,0.221,0.496,0.726,0.675,0.304407713,0.734814815,1.039222528
54,44,249,10,-58.75,0.026,0.653,0.726,0.675,0.035812672,0.967407407,1.00322008
64,44,249,20,-38.75,0.003,0.682,0.726,0.675,0.004132231,1.01037037,1.014502602
74,44,249,30,-18.75,0.122,0.566,0.726,0.675,0.168044077,0.838518519,1.006562596
84,44,249,40,1.25,0.394,0.328,0.726,0.675,0.542699725,0.485925926,1.02862565
94,44,249,50,21.25,0.595,0.105,0.726,0.675,0.819559229,0.155555556,0.975114784
104,44,249,60,41.25,0.731,0.001,0.726,0.675,1.006887052,0.001481481,1.008368534
114,44,249,70,61.25,0.678,0.037,0.726,0.675,0.933884298,0.054814815,0.988699112
124,44,249,80,81.25,0.462,0.237,0.726,0.675,0.636363636,0.351111111,0.987474747
134,44,249,90,101.25,0.22,0.463,0.726,0.675,0.303030303,0.685925926,0.988956229
,,,,,,,,,,,
,,271.5,,,,,,,,,
